source,tag,file,dataset,scorer,seed,d_h,layers,label_smooth,batch_size,score_chunk_size,epochs,train_time_s,best_val_mrr,MRR,Hits@1,Hits@3,Hits@10,MR
pricai_3day,root,C:\Users\13742\Documents\KG\kgc-decoder-audit\pricai_3day_results_20260609\pricai_3day_pack_20260609_113656\root_jsons\Kinship_d200_L2_ls0.3_seed42.json,Kinship,DistMult,42,200,2,0.3,1024,0,300,21.342421293258667,0.7346730567996735,0.7079596551976017,57.821229050279335,79.51582867783985,95.34450651769087,2.889199255121043
pricai_3day,root,C:\Users\13742\Documents\KG\kgc-decoder-audit\pricai_3day_results_20260609\pricai_3day_pack_20260609_113656\root_jsons\Kinship_d200_L2_ls0.3_seed456.json,Kinship,DistMult,456,200,2,0.3,1024,0,300,19.3946270942688,0.739713954371117,0.701307251421297,57.821229050279335,77.83985102420856,94.97206703910615,3.005586592178771
pricai_3day,root,C:\Users\13742\Documents\KG\kgc-decoder-audit\pricai_3day_results_20260609\pricai_3day_pack_20260609_113656\root_jsons\Kinship_d200_L2_ls0.3_seed777.json,Kinship,DistMult,777,200,2,0.3,1024,0,300,19.461575031280518,0.742868126412504,0.710540851324248,58.37988826815642,79.7951582867784,94.87895716945997,2.9804469273743015
pricai_3day,root,C:\Users\13742\Documents\KG\kgc-decoder-audit\pricai_3day_results_20260609\pricai_3day_pack_20260609_113656\root_jsons\Kinship_d200_L2_ls0.3_seed888.json,Kinship,DistMult,888,200,2,0.3,1024,0,300,19.644503355026245,0.7583121636366913,0.7149339851352562,58.84543761638734,80.16759776536313,95.53072625698324,3.01024208566108
pricai_3day,root,C:\Users\13742\Documents\KG\kgc-decoder-audit\pricai_3day_results_20260609\pricai_3day_pack_20260609_113656\root_jsons\Kinship_d200_L2_ls0.3_seed999.json,Kinship,DistMult,999,200,2,0.3,1024,0,300,18.297694206237793,0.7384165798740178,0.7177334999839187,59.217877094972074,79.7951582867784,95.90316573556798,2.96927374301676
pricai_3day,root,C:\Users\13742\Documents\KG\kgc-decoder-audit\pricai_3day_results_20260609\pricai_3day_pack_20260609_113656\root_jsons\Kinship_d200_L2_ls0.3_TransE_seed123.json,Kinship,TransE,123,200,2,0.3,4096,0,300,16.059240341186523,0.050676094322948124,0.05235136976442211,0.0,3.072625698324022,12.197392923649906,44.580074487895715
pricai_3day,root,C:\Users\13742\Documents\KG\kgc-decoder-audit\pricai_3day_results_20260609\pricai_3day_pack_20260609_113656\root_jsons\Kinship_d200_L2_ls0.3_TransE_seed42.json,Kinship,TransE,42,200,2,0.3,4096,0,300,13.777004718780518,0.046236098271568445,0.04508231358003065,0.0,1.48975791433892,10.986964618249534,46.89571694599628
pricai_3day,root,C:\Users\13742\Documents\KG\kgc-decoder-audit\pricai_3day_results_20260609\pricai_3day_pack_20260609_113656\root_jsons\Kinship_d200_L2_ls0.3_TransE_seed456.json,Kinship,TransE,456,200,2,0.3,4096,0,300,15.779012680053711,0.04691503508906098,0.04429105257453102,0.0,1.2104283054003724,11.1731843575419,46.243947858473
pricai_3day,root,C:\Users\13742\Documents\KG\kgc-decoder-audit\pricai_3day_results_20260609\pricai_3day_pack_20260609_113656\root_jsons\UMLS_d200_L2_ls0.3_ComplEx_seed123.json,UMLS,ComplEx,123,200,2,0.3,1024,0,300,21.541399717330933,0.9498527519653835,0.944460172436357,90.46898638426626,98.48714069591527,99.24357034795764,1.325264750378215
pricai_3day,root,C:\Users\13742\Documents\KG\kgc-decoder-audit\pricai_3day_results_20260609\pricai_3day_pack_20260609_113656\root_jsons\UMLS_d200_L2_ls0.3_ComplEx_seed42.json,UMLS,ComplEx,42,200,2,0.3,1024,0,300,17.601552486419678,0.9549760699131,0.9319237326801623,88.6535552193646,97.12556732223904,99.69742813918305,1.2829046898638428
pricai_3day,root,C:\Users\13742\Documents\KG\kgc-decoder-audit\pricai_3day_results_20260609\pricai_3day_pack_20260609_113656\root_jsons\UMLS_d200_L2_ls0.3_ComplEx_seed456.json,UMLS,ComplEx,456,200,2,0.3,1024,0,300,18.904923677444458,0.9514870844395434,0.9493767312316715,91.22541603630863,98.48714069591527,99.54614220877458,1.307110438729198
pricai_3day,root,C:\Users\13742\Documents\KG\kgc-decoder-audit\pricai_3day_results_20260609\pricai_3day_pack_20260609_113656\root_jsons\UMLS_d200_L2_ls0.3_ComplEx_seed777.json,UMLS,ComplEx,777,200,2,0.3,1024,0,300,18.26414942741394,0.9460626840800901,0.9468413870843345,91.67927382753403,97.2768532526475,99.39485627836612,1.5703479576399395
pricai_3day,root,C:\Users\13742\Documents\KG\kgc-decoder-audit\pricai_3day_results_20260609\pricai_3day_pack_20260609_113656\root_jsons\UMLS_d200_L2_ls0.3_ComplEx_seed888.json,UMLS,ComplEx,888,200,2,0.3,1024,0,300,18.36339282989502,0.9491209401709402,0.9479110045256214,91.83055975794251,97.2768532526475,99.09228441754917,1.4674735249621784
pricai_3day,root,C:\Users\13742\Documents\KG\kgc-decoder-audit\pricai_3day_results_20260609\pricai_3day_pack_20260609_113656\root_jsons\UMLS_d200_L2_ls0.3_ComplEx_seed999.json,UMLS,ComplEx,999,200,2,0.3,1024,0,300,21.614961862564087,0.9450269396295712,0.9357851114769504,89.56127080181543,97.12556732223904,98.9409984871407,1.4084720121028744
pricai_3day,root,C:\Users\13742\Documents\KG\kgc-decoder-audit\pricai_3day_results_20260609\pricai_3day_pack_20260609_113656\root_jsons\UMLS_d200_L2_ls0.3_RotatE_seed123.json,UMLS,RotatE,123,200,2,0.3,4096,0,300,15.281509637832642,0.8569778407456151,0.8488742203096704,76.70196671709532,91.83055975794251,97.12556732223904,3.3721633888048412
pricai_3day,root,C:\Users\13742\Documents\KG\kgc-decoder-audit\pricai_3day_results_20260609\pricai_3day_pack_20260609_113656\root_jsons\UMLS_d200_L2_ls0.3_RotatE_seed42.json,UMLS,RotatE,42,200,2,0.3,4096,0,300,15.522404670715332,0.8784151471303753,0.855667225619758,78.21482602118003,91.67927382753403,95.61270801815431,3.092284417549168
pricai_3day,root,C:\Users\13742\Documents\KG\kgc-decoder-audit\pricai_3day_results_20260609\pricai_3day_pack_20260609_113656\root_jsons\UMLS_d200_L2_ls0.3_RotatE_seed456.json,UMLS,RotatE,456,200,2,0.3,4096,0,300,18.63962197303772,0.8694243010279932,0.8425938181261529,76.85325264750378,91.07413010590015,93.64599092284418,4.302571860816944
pricai_3day,root,C:\Users\13742\Documents\KG\kgc-decoder-audit\pricai_3day_results_20260609\pricai_3day_pack_20260609_113656\root_jsons\UMLS_d200_L2_ls0.3_seed123.json,UMLS,DistMult,123,200,2,0.3,1024,0,300,17.242661237716675,0.941019842009842,0.9209025583475355,88.04841149773071,95.15885022692889,98.9409984871407,1.62178517397882
pricai_3day,root,C:\Users\13742\Documents\KG\kgc-decoder-audit\pricai_3day_results_20260609\pricai_3day_pack_20260609_113656\root_jsons\UMLS_d200_L2_ls0.3_seed42.json,UMLS,DistMult,42,200,2,0.3,1024,0,300,17.169161558151245,0.9240279777326201,0.9167283874651685,87.89712556732225,94.0998487140696,98.9409984871407,1.5597579425113464
